Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Stint,FreshTyre,Position,IsAccurate,TrackStatus,IsPersonalBest
ANT,12,11.0,0 days 00:01:15.630000,0 days 00:00:21.538000,0 days 00:00:24.042000,0 days 00:00:30.050000,238.0,280.0,279.0,312.0,SOFT,15.0,1.0,False,2.0,True,1,True
ANT,12,12.0,0 days 00:01:15.916000,0 days 00:00:21.512000,0 days 00:00:23.989000,0 days 00:00:30.415000,238.0,280.0,302.0,302.0,SOFT,16.0,1.0,False,2.0,True,1,False
ANT,12,13.0,0 days 00:01:17.833000,0 days 00:00:22.734000,0 days 00:00:24.512000,0 days 00:00:30.587000,235.0,266.0,281.0,315.0,SOFT,17.0,1.0,False,2.0,True,12,False
ANT,12,14.0,0 days 00:01:16.126000,0 days 00:00:21.638000,0 days 00:00:24.140000,0 days 00:00:30.348000,240.0,285.0,282.0,320.0,SOFT,18.0,1.0,False,2.0,True,21,False
ANT,12,15.0,0 days 00:01:15.635000,0 days 00:00:21.585000,0 days 00:00:23.961000,0 days 00:00:30.089000,240.0,288.0,284.0,313.0,SOFT,19.0,1.0,False,2.0,True,1,False
ANT,12,16.0,0 days 00:01:15.411000,0 days 00:00:21.581000,0 days 00:00:24.003000,0 days 00:00:29.827000,241.0,287.0,285.0,325.0,SOFT,20.0,1.0,False,2.0,True,1,True
ANT,12,17.0,0 days 00:01:16.531000,0 days 00:00:21.601000,0 days 00:00:24.215000,0 days 00:00:30.715000,241.0,286.0,284.0,315.0,SOFT,21.0,1.0,False,2.0,True,1,False
ANT,12,18.0,0 days 00:01:15.715000,0 days 00:00:21.720000,0 days 00:00:24.173000,0 days 00:00:29.822000,241.0,287.0,286.0,326.0,SOFT,22.0,1.0,False,2.0,True,1,False
ANT,12,19.0,0 days 00:01:15.587000,0 days 00:00:21.707000,0 days 00:00:24.079000,0 days 00:00:29.801000,241.0,287.0,286.0,330.0,SOFT,23.0,1.0,False,2.0,True,12,False
ANT,12,20.0,0 days 00:01:15.559000,0 days 00:00:21.660000,0 days 00:00:24.084000,0 days 00:00:29.815000,240.0,286.0,283.0,327.0,SOFT,24.0,1.0,False,2.0,True,1,False
ANT,12,21.0,0 days 00:01:15.439000,0 days 00:00:21.580000,0 days 00:00:23.960000,0 days 00:00:29.899000,240.0,288.0,300.0,339.0,SOFT,25.0,1.0,False,2.0,True,1,False
ANT,12,22.0,0 days 00:01:16.182000,0 days 00:00:22.121000,0 days 00:00:24.233000,0 days 00:00:29.828000,238.0,285.0,272.0,328.0,SOFT,26.0,1.0,False,1.0,True,1,False
ANT,12,23.0,0 days 00:01:15.413000,0 days 00:00:21.467000,0 days 00:00:24.151000,0 days 00:00:29.795000,238.0,278.0,285.0,327.0,SOFT,27.0,1.0,False,1.0,True,1,False
